sepal_length,sepal_width,petal_length,petal_width,class_label
6.3,2.9,5.6,1.8,2.0
5.2,3.4,1.4,0.2,0.0
6.7,3.3,5.7,2.5,2.0
5.3,3.7,1.5,0.2,0.0
4.3,3.0,1.1,0.1,0.0
4.4,3.0,1.3,0.2,0.0
4.5,2.3,1.3,0.3,0.0
5.4,3.9,1.7,0.4,0.0
4.6,3.6,1.0,0.2,0.0
7.7,3.8,6.7,2.2,2.0
5.5,4.2,1.4,0.2,0.0
6.2,2.8,4.8,1.8,2.0
5.8,2.7,5.1,1.9,2.0
4.9,3.1,1.5,0.1,0.0
6.7,3.0,5.2,2.3,2.0
6.4,2.7,5.3,1.9,2.0
6.3,2.5,5.0,1.9,2.0
4.8,3.0,1.4,0.1,0.0
5.5,3.5,1.3,0.2,0.0
5.9,3.0,5.1,1.8,2.0
5.0,3.3,1.4,0.2,0.0
5.0,3.5,1.6,0.6,0.0
6.1,3.0,4.9,1.8,2.0
5.1,3.4,1.5,0.2,0.0
