0,1,2,3,4,5
5,6,0,0,0,5
4,4,0,0,0,4
9,9,0,0,0,9
4,9,0,0,0,2
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
8,6,0,0,0,8
7,7,0,0,0,9
9,9,0,0,0,9
9,9,0,0,0,9
4,4,0,0,0,4
9,9,0,0,0,9
9,9,0,0,0,4
3,2,0,0,0,3
9,7,0,0,0,4
9,9,0,0,0,9
4,2,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
3,6,0,0,0,3
5,6,0,0,0,5
9,9,0,0,0,9
4,4,0,0,0,4
5,6,0,0,0,5
5,6,0,0,0,5
4,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
8,5,0,0,0,5
9,9,0,0,0,9
9,9,0,0,0,9
9,9,0,0,0,9
5,8,0,0,0,8
5,5,0,0,0,8
4,4,0,0,0,4
4,4,0,0,0,4
5,8,0,0,0,8
4,4,0,0,0,4
4,4,0,0,0,4
9,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
9,0,0,0,0,9
9,9,0,0,0,9
4,4,0,0,0,4
6,6,0,0,0,2
4,4,0,0,0,4
9,9,0,0,0,9
9,8,0,0,0,3
9,8,0,0,0,3
9,4,0,0,0,9
7,7,0,0,0,4
6,6,0,0,0,5
9,9,0,0,0,9
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
8,6,0,0,0,8
2,2,0,0,0,1
4,4,0,0,0,9
9,9,0,0,0,9
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
5,8,0,0,0,8
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
9,3,0,0,0,9
9,9,0,0,0,9
4,4,0,0,0,4
9,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
3,2,0,0,0,3
6,6,0,0,0,2
4,4,0,0,0,4
4,4,0,0,0,4
2,2,0,0,0,3
4,4,0,0,0,4
7,9,0,0,0,7
5,5,0,0,0,3
0,0,0,0,0,6
9,9,0,0,0,9
4,1,0,0,0,1
9,9,0,0,0,9
4,8,0,0,0,8
4,8,0,0,0,8
9,9,0,0,0,9
4,4,0,0,0,4
4,4,0,0,0,9
1,1,0,0,0,8
9,9,0,0,0,9
2,1,0,0,0,5
9,9,0,0,0,9
9,9,0,0,0,9
9,9,0,0,0,4
6,2,0,0,0,8
9,9,0,0,0,9
4,4,0,0,0,4
5,8,0,0,0,8
9,9,0,0,0,9
4,4,0,0,0,4
