A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,class_label
2.0,1.0,37.5,48.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,1.0,39.2,88.0,58.0,4.0,4.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0
1.0,1.0,38.8,50.0,14.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,38.0,58.0,0.0,0.0,1
1.0,1.0,38.3,40.0,18.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,43.0,5.9,1.0,0.0,1
1.0,1.0,38.9,80.0,44.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,7.0,3.0,1.0,54.0,6.5,3.0,0.0,0
2.0,1.0,38.3,112.0,16.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,51.0,6.0,2.0,1.0,0
2.0,1.0,39.5,92.0,28.0,3.0,3.0,6.0,1.0,5.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0,72.0,6.4,0.0,3.6,0
1.0,9.0,39.2,146.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,37.3,50.0,32.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,44.0,7.0,0.0,0.0,1
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,6.5,2.0,0.0,1
2.0,1.0,36.1,88.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,4.0,45.0,7.0,3.0,4.8,0
2.0,1.0,38.3,42.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,61.0,0.0,0.0,1
2.0,1.0,38.0,44.0,12.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,6.5,1.0,4.0,33.0,6.5,0.0,0.0,0
1.0,1.0,0.0,100.0,30.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,0.0,4.0,4.0,52.0,6.6,0.0,0.0,1
2.0,1.0,37.2,84.0,48.0,3.0,3.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,73.0,5.5,2.0,4.1,0
1.0,1.0,37.9,60.0,15.0,3.0,0.0,4.0,2.0,5.0,4.0,4.0,2.0,2.0,0.0,4.0,5.0,65.0,7.5,0.0,0.0,1
2.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,4.0,5.0,38.0,6.5,0.0,0.0,0
1.0,1.0,39.2,88.0,20.0,0.0,0.0,4.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,50.0,85.0,2.0,2.0,0
2.0,1.0,37.5,48.0,30.0,4.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,48.0,8.6,0.0,0.0,1
1.0,1.0,0.0,76.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0
1.0,1.0,0.0,60.0,30.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,45.0,70.0,3.0,2.0,1
2.0,1.0,38.3,54.0,18.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,3.0,5.4,0.0,4.0,44.0,7.2,3.0,0.0,1
1.0,1.0,38.4,104.0,40.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,6.5,0.0,4.0,55.0,8.5,0.0,0.0,1
1.0,1.0,38.5,86.0,0.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0,3.0,5.0,45.0,7.4,1.0,3.4,0
1.0,1.0,0.0,60.0,48.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,58.0,7.6,0.0,0.0,0
1.0,1.0,38.1,52.0,24.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,7.0,1.0,0.0,54.0,7.5,2.0,2.6,0
2.0,1.0,37.6,88.0,36.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1.5,0.0,0.0,44.0,6.0,0.0,0.0,0
2.0,1.0,38.0,48.0,12.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,2.0,42.0,6.3,2.0,4.1,1
2.0,1.0,38.2,48.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,34.0,6.6,0.0,0.0,1
1.0,1.0,0.0,60.0,20.0,4.0,3.0,4.0,2.0,5.0,4.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0
2.0,1.0,38.0,40.0,25.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0,4.0,0.0,37.0,69.0,0.0,0.0,1
1.0,1.0,38.2,52.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,43.0,8.1,0.0,0.0,1
1.0,1.0,38.2,72.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.4,0.0,0.0,1
2.0,1.0,39.4,110.0,35.0,4.0,3.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,8.7,0.0,0.0,1
2.0,1.0,38.6,68.0,20.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,5.0,38.0,6.5,1.0,0.0,1
2.0,1.0,37.7,48.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,45.0,76.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.7,0.0,0.0,1
1.0,1.0,0.0,120.0,0.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5.0,52.0,67.0,2.0,2.0,0
1.0,1.0,38.7,0.0,0.0,3.0,1.0,3.0,1.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,6.5,2.0,0.0,1
1.0,1.0,38.1,70.0,22.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,65.0,0.0,0.0,0
2.0,1.0,38.4,54.0,24.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,49.0,7.2,1.0,8.0,1
2.0,9.0,0.0,100.0,44.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0,4.7,0.0,0.0,1
1.0,1.0,0.0,120.0,70.0,4.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,55.0,65.0,0.0,0.0,0
1.0,1.0,0.0,80.0,0.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,5.0,43.0,70.0,0.0,0.0,1
2.0,1.0,0.0,80.0,32.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,0.0,3.0,0.0,50.0,80.0,0.0,0.0,1
1.0,1.0,0.0,120.0,0.0,4.0,3.0,6.0,2.0,5.0,4.0,4.0,0.0,0.0,0.0,4.0,5.0,57.0,4.5,3.0,3.9,0
2.0,1.0,38.6,45.0,16.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,58.0,0.0,0.0,1
1.0,1.0,37.1,40.0,8.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,23.0,6.7,3.0,0.0,1
1.0,1.0,37.6,96.0,48.0,3.0,1.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,4.5,4.0,0.0,45.0,6.8,0.0,0.0,0
2.0,1.0,37.5,48.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,37.0,6.5,0.0,0.0,1
2.0,1.0,0.0,0.0,12.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,44.0,7.5,2.0,0.0,1
1.0,1.0,38.9,80.0,44.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,7.0,3.0,1.0,54.0,6.5,3.0,0.0,0
2.0,1.0,38.8,48.0,40.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,5.0,41.0,65.0,0.0,0.0,1
1.0,1.0,38.3,44.0,21.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,5.0,44.0,6.5,2.0,4.4,1
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,65.0,24.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0
1.0,1.0,38.1,66.0,12.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,5.0,44.0,6.0,2.0,3.6,1
1.0,1.0,37.5,48.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,41.0,55.0,3.0,2.0,0
1.0,1.0,0.0,100.0,0.0,3.0,0.0,4.0,2.0,5.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,59.0,6.3,0.0,0.0,0
1.0,1.0,39.9,72.0,60.0,1.0,1.0,5.0,2.0,5.0,4.0,4.0,3.0,1.0,0.0,4.0,4.0,46.0,6.1,2.0,0.0,1
