A,B,C,D,E,F,G,H,I,class_label
45,4,77,0,44,0,32,33,2,0
42,-5,108,0,42,0,65,66,2,0
43,0,78,0,42,-13,35,37,2,0
37,3,83,-2,34,0,45,49,4,0
56,0,96,0,54,-6,40,42,2,0
37,0,93,0,12,31,55,80,24,6
41,0,78,0,42,24,37,37,0,0
51,0,79,0,50,-10,28,30,2,0
50,0,111,5,50,0,60,62,2,0
56,0,77,-5,10,0,22,67,46,3
44,-2,79,0,44,0,36,35,0,0
51,0,83,1,50,0,32,33,2,0
37,0,76,-3,28,-12,39,47,8,0
79,0,83,-5,-32,-5,4,117,112,4
37,0,83,0,30,5,46,52,6,0
49,5,82,0,50,1,33,33,0,0
48,0,110,2,46,0,62,64,2,0
49,0,86,0,50,40,37,37,0,0
50,-2,84,0,50,0,35,35,0,0
37,0,74,0,28,-11,37,46,8,0
49,0,77,3,50,0,28,28,0,0
49,0,86,-1,50,20,38,37,0,0
37,0,79,-2,0,13,42,79,36,0
45,-1,76,0,44,-9,31,32,2,0
56,0,97,0,54,8,40,42,2,0
55,0,93,0,6,-18,37,88,50,3
41,0,81,0,42,8,41,40,0,0
37,0,78,0,24,11,42,55,14,0
45,0,86,-4,46,19,40,39,0,0
51,-3,81,0,50,-10,30,32,2,0
37,0,79,-2,38,18,42,41,0,0
37,0,76,0,26,-30,39,50,10,0
38,1,93,-2,38,0,55,55,0,0
55,0,96,5,50,0,41,47,6,3
44,-1,86,-2,44,-3,42,42,0,0
45,0,88,0,44,-27,42,44,2,0
41,-2,83,0,42,3,42,41,0,0
43,0,86,0,42,0,43,44,2,0
37,0,80,6,28,0,43,52,8,0
55,0,82,0,-24,-2,26,108,82,3
78,-3,83,0,-46,0,4,129,124,4
49,-1,79,0,46,-17,30,32,2,0
82,2,86,0,-42,-29,4,130,126,4
44,0,81,0,42,-16,38,40,2,0
41,1,79,0,42,18,38,37,0,0
56,1,92,0,54,-6,36,38,2,0
37,0,79,0,6,-20,43,74,32,0
37,0,111,6,28,0,73,82,8,0
46,0,88,1,44,-25,43,44,2,0
37,0,78,5,16,-10,42,63,22,0
45,0,88,0,44,-6,43,44,2,0
45,-5,82,0,44,0,37,38,0,0
56,-3,96,7,42,0,40,55,14,3
59,3,86,0,60,15,28,27,0,0
37,0,77,5,34,0,40,44,4,0
41,0,88,0,42,1,47,47,0,0
41,-1,83,0,38,-30,42,44,2,0
56,0,81,0,-2,-4,25,83,58,3
37,0,106,0,24,0,69,82,14,0
37,0,83,0,6,-9,46,77,32,0
78,-1,82,0,-46,0,4,128,124,4
41,-4,86,0,42,11,45,44,0,0
37,0,97,0,24,-5,60,74,14,0
56,0,77,0,-12,12,21,90,68,3
44,0,80,-7,44,5,36,36,0,0
54,-2,108,0,54,0,53,53,0,0
55,0,82,0,-24,-4,26,108,82,3
39,0,79,4,38,0,40,41,0,0
37,0,97,0,30,18,60,66,6,0
55,-1,98,0,38,-6,42,59,16,3
85,0,88,0,2,22,3,86,82,4
45,0,82,-230,44,0,37,38,0,0
37,0,79,0,34,0,42,45,4,0
47,0,84,-5,46,0,38,38,0,0
104,1,105,2,70,0,1,35,34,4
55,0,98,0,42,-1,42,57,14,3
55,0,76,0,-14,16,21,92,70,3
56,0,79,0,16,4,23,63,40,3
101,2,102,8,72,13,1,30,28,4
47,1,81,0,46,0,34,34,0,0
49,4,84,0,50,2,35,35,0,0
56,0,79,0,-2,-30,23,81,58,3
38,2,76,0,38,2,38,37,0,0
37,0,77,-1,34,-16,40,44,4,0
56,0,97,3,50,-15,41,48,6,3
46,0,90,0,46,7,44,44,0,0
44,-1,76,0,42,-31,32,34,2,0
51,0,86,-6,52,23,36,35,0,0
80,-1,84,1,-36,0,5,121,116,4
51,4,78,0,52,16,27,26,0,0
37,0,76,3,24,-10,39,52,14,0
44,2,87,2,44,4,43,43,0,0
46,0,83,-2,46,0,36,36,0,0
37,0,95,-3,26,11,58,70,12,0
53,0,102,0,54,1,49,48,0,0
53,1,81,0,52,-28,28,30,2,0
37,0,82,-2,34,0,45,48,4,0
37,0,98,0,34,17,61,64,4,0
53,3,88,0,54,31,35,33,0,0
41,1,76,0,42,7,34,34,0,0
50,0,78,-3,50,0,28,29,0,0
53,2,83,0,52,-12,30,31,2,0
51,5,86,0,50,0,36,37,2,0
104,2,106,4,72,2,1,33,32,4
55,0,98,1,52,-12,42,46,4,3
42,0,76,0,42,0,35,35,0,0
50,2,78,0,50,0,29,29,0,0
52,0,85,0,54,22,33,31,0,0
42,-2,78,3,42,0,36,37,2,0
55,0,78,-7,18,-1,23,60,38,3
47,0,79,0,46,0,32,33,0,0
50,0,79,1,50,0,29,30,0,0
37,1,76,0,34,0,39,43,4,0
41,-5,77,0,42,15,36,35,0,0
42,0,81,0,42,82,39,40,0,0
37,0,78,0,10,-21,42,68,26,0
55,-4,97,-3,52,0,42,46,4,3
56,1,98,0,44,2,42,54,12,3
36,-2,81,0,36,0,45,45,0,0
49,0,77,0,46,-11,28,30,2,0
55,0,93,0,18,6,38,75,38,3
56,3,95,0,42,-8,40,54,14,3
44,1,87,1,44,2,43,43,0,0
40,0,77,2,38,0,36,38,2,0
37,0,79,0,6,-14,42,74,32,0
42,-1,86,2,42,0,44,45,2,0
40,4,81,0,38,0,41,43,2,0
56,1,81,0,56,19,25,24,0,0
43,0,80,-2,42,-16,37,39,2,0
37,0,83,0,34,-1,46,49,2,0
81,-4,85,0,-10,0,4,95,92,4
37,-2,80,0,20,2,43,59,16,0
53,0,79,0,54,3,25,24,0,0
41,0,80,0,42,11,39,39,0,0
55,0,77,-2,8,-28,22,70,48,3
44,0,76,5,44,5,32,32,0,0
45,0,76,-1,44,-8,31,32,2,0
55,-3,80,0,54,-8,25,26,2,0
51,0,88,0,50,-8,37,39,2,0
44,1,81,0,44,6,38,37,0,0
43,-5,82,0,42,-30,39,41,2,0
