test1,test2,test3,test4,test5,test
1,8,1,0,0,8
7,7,7,0,0,7
6,6,6,0,0,6
0,0,0,0,0,0
9,9,7,0,0,9
9,7,7,0,0,7
0,0,0,0,0,5
9,7,7,0,0,7
2,2,2,0,0,2
1,1,1,0,0,1
1,1,1,0,0,1
6,6,6,0,0,6
7,8,6,0,0,8
9,9,9,0,0,9
4,4,4,0,0,4
1,1,1,0,0,1
3,3,3,0,0,5
4,5,2,0,0,2
2,2,2,0,0,2
9,9,8,0,0,9
0,0,0,0,0,0
3,3,3,0,0,3
4,9,4,0,0,9
6,6,6,0,0,6
7,7,7,0,0,7
2,5,2,0,0,2
0,0,0,0,0,0
5,3,3,0,0,3
4,5,5,0,0,5
4,4,4,0,0,4
3,3,3,0,0,3
6,6,6,0,0,6
3,8,5,0,0,5
8,8,5,0,0,8
4,9,9,0,0,9
5,5,5,0,0,5
4,9,9,0,0,4
7,7,7,0,0,7
4,4,4,0,0,4
2,2,2,0,0,2
4,9,9,0,0,7
3,3,3,0,0,3
4,9,6,0,0,4
8,5,8,0,0,8
4,9,9,0,0,9
1,1,1,0,0,1
9,9,3,0,0,9
4,5,2,0,0,2
1,8,1,0,0,8
7,7,7,0,0,7
9,9,9,0,0,9
1,8,1,0,0,1
3,8,3,0,0,8
9,7,7,0,0,7
9,9,9,0,0,4
1,1,1,0,0,1
3,3,3,0,0,3
1,1,1,0,0,1
1,1,1,0,0,1
0,0,0,0,0,0
1,1,2,0,0,2
3,3,3,0,0,3
9,9,9,0,0,9
4,4,4,0,0,4
9,9,9,0,0,9
2,2,2,0,0,2
1,1,1,0,0,1
6,6,6,0,0,6
1,8,8,0,0,8
4,4,4,0,0,4
1,1,1,0,0,7
7,7,7,0,0,7
4,9,9,0,0,4
4,4,4,0,0,4
4,9,9,0,0,9
4,5,2,0,0,2
3,5,3,0,0,5
7,7,7,0,0,7
2,2,2,0,0,2
4,4,4,0,0,4
4,4,4,0,0,4
2,5,2,0,0,2
1,1,1,0,0,1
9,9,9,0,0,9
7,4,4,0,0,7
4,2,2,0,0,2
3,7,3,0,0,8
7,7,7,0,0,7
6,6,6,0,0,6
9,9,9,0,0,9
1,8,3,0,0,2
4,4,2,0,0,2
3,3,3,0,0,3
8,8,8,0,0,8
1,1,1,0,0,1
6,6,6,0,0,6
3,5,5,0,0,5
1,1,1,0,0,1
1,1,1,0,0,1
0,0,0,0,0,0
