status,action,reward,next_status
[0.        0.        0.        3.5758681],[1],1,[0.       0.       0.       2.285053]
[0.       0.       0.       2.285053],[1],0,[0.        0.        0.        7.7640247]
[0.        0.        0.        7.7640247],[1],1,[1.6950842  0.7683396  2.4966056  0.31818625]
[1.6950842  0.7683396  2.4966056  0.31818625],[0],1,[2.2939305 1.0844159 3.4320483 0.3376218]
[2.2939305 1.0844159 3.4320483 0.3376218],[0],0,[4.735989   2.3317554  7.2098875  0.48642534]
[4.735989   2.3317554  7.2098875  0.48642534],[0],1,[2.479609  1.1806855 3.7257023 0.3516426]
[2.479609  1.1806855 3.7257023 0.3516426],[0],0,[0.        0.        0.        3.7015278]
[0.        0.        0.        3.7015278],[1],0,[1.8039137  0.83393335 2.676196   0.31256676]
[1.8039137  0.83393335 2.676196   0.31256676],[0],0,[0.47356024 0.06661599 0.5168562  0.72163534]
[0.47356024 0.06661599 0.5168562  0.72163534],[0],1,[0.        0.        0.        1.6931798]
[0.        0.        0.        1.6931798],[1],1,[2.295425   1.0876245  3.442203   0.33500183]
[2.295425   1.0876245  3.442203   0.33500183],[0],1,[0.        0.        0.        4.2220006]
[0.        0.        0.        4.2220006],[1],1,[1.1129965 0.4521032 1.5278774 0.3718372]
[1.1129965 0.4521032 1.5278774 0.3718372],[0],1,[0.95888555 0.3484645  1.1532148  0.5074173 ]
[0.95888555 0.3484645  1.1532148  0.5074173 ],[0],0,[1.9454436  0.9001821  2.885699   0.33683163]
[1.9454436  0.9001821  2.885699   0.33683163],[0],1,[0.       0.       0.       7.256504]
[0.       0.       0.       7.256504],[1],1,[0.7795617  0.29042733 1.0031295  0.36152744]
[0.7795617  0.29042733 1.0031295  0.36152744],[0],1,[0.       0.       0.       5.930341]
[0.       0.       0.       5.930341],[1],1,[0.        0.        0.        2.0273788]
[0.        0.        0.        2.0273788],[1],0,[2.3124769  1.0899254  3.4615183  0.33604592]
[2.3124769  1.0899254  3.4615183  0.33604592],[0],0,[0.       0.       0.       6.059928]
[0.       0.       0.       6.059928],[1],0,[0.        0.        0.        2.7498622]
[0.        0.        0.        2.7498622],[1],1,[2.4803765 1.1775159 3.727061  0.3556971]
[2.4803765 1.1775159 3.727061  0.3556971],[0],1,[0.       0.       0.       9.467239]
[0.       0.       0.       9.467239],[1],1,[1.3512744  0.5939564  1.9560668  0.30026263]
[1.3512744  0.5939564  1.9560668  0.30026263],[0],1,[1.0096596  0.4070857  1.3910967  0.32711548]
[1.0096596  0.4070857  1.3910967  0.32711548],[0],0,[5.834448  2.8918207 8.908473  0.5621857]
[5.834448  2.8918207 8.908473  0.5621857],[0],1,[0.        0.        0.        3.3276393]
[0.        0.        0.        3.3276393],[1],1,[0.       0.       0.       9.346554]
[0.       0.       0.       9.346554],[1],0,[0.        0.        0.        1.9960623]
[0.        0.        0.        1.9960623],[1],1,[1.2361357  0.5277659  1.760709   0.31224594]
[1.2361357  0.5277659  1.760709   0.31224594],[0],1,[0.01606754 0.         0.         1.3360664 ]
[0.01606754 0.         0.         1.3360664 ],[1],1,[0.       0.       0.       5.335619]
[0.       0.       0.       5.335619],[1],0,[0.       0.       0.       9.700109]
[0.       0.       0.       9.700109],[1],1,[0.       0.       0.       6.927779]
[0.       0.       0.       6.927779],[1],0,[0.11841574 0.         0.10841541 0.93657666]
[0.11841574 0.         0.10841541 0.93657666],[1],1,[0.36140752 0.00737847 0.3770129  0.8954806 ]
[0.36140752 0.00737847 0.3770129  0.8954806 ],[0],1,[0.        0.        0.        6.3592854]
[0.        0.        0.        6.3592854],[1],1,[0.       0.       0.       2.736465]
[0.       0.       0.       2.736465],[1],0,[0.72046393 0.26725978 0.9094719  0.3521294 ]
[0.72046393 0.26725978 0.9094719  0.3521294 ],[0],0,[0.        0.        0.        3.1649842]
[0.        0.        0.        3.1649842],[1],0,[0.43434218 0.05881789 0.4730984  0.6802333 ]
[0.43434218 0.05881789 0.4730984  0.6802333 ],[0],0,[2.3080215  1.0894877  3.4570496  0.33980417]
[2.3080215  1.0894877  3.4570496  0.33980417],[0],1,[1.3750211  0.60844964 2.00692    0.29790786]
[1.3750211  0.60844964 2.00692    0.29790786],[0],0,[0.        0.        0.        7.4667645]
[0.        0.        0.        7.4667645],[1],0,[0.       0.       0.       2.132079]
[0.       0.       0.       2.132079],[1],1,[0.       0.       0.       4.951768]
[0.       0.       0.       4.951768],[1],0,[0.46590835 0.07461064 0.51478    0.6463731 ]
[0.46590835 0.07461064 0.51478    0.6463731 ],[0],0,[1.6648859  0.75470096 2.44417    0.3202345 ]
[1.6648859  0.75470096 2.44417    0.3202345 ],[0],1,[2.5234141  1.2004392  3.79708    0.35227102]
[2.5234141  1.2004392  3.79708    0.35227102],[0],0,[0.933689   0.37457797 1.2770303  0.30961287]
[0.933689   0.37457797 1.2770303  0.30961287],[0],1,[0.        0.        0.        6.9218874]
[0.        0.        0.        6.9218874],[1],1,[0.79993904 0.29010317 0.98094374 0.4155615 ]
[0.79993904 0.29010317 0.98094374 0.4155615 ],[0],1,[ 0.         0.         0.        10.7667675]
[ 0.         0.         0.        10.7667675],[1],1,[1.096119   0.454291   1.537503   0.31121185]
[1.096119   0.454291   1.537503   0.31121185],[0],1,[0.        0.        0.        7.4059763]
[0.        0.        0.        7.4059763],[1],1,[1.1915451  0.5102366  1.7046155  0.28779274]
[1.1915451  0.5102366  1.7046155  0.28779274],[0],1,[2.5422235  1.2061507  3.8015444  0.36284035]
[2.5422235  1.2061507  3.8015444  0.36284035],[0],0,[ 0.        0.        0.       11.956555]
[ 0.        0.        0.       11.956555],[1],0,[0.       0.       0.       2.323008]
[0.       0.       0.       2.323008],[1],1,[0.15157549 0.         0.14827766 1.0429797 ]
[0.15157549 0.         0.14827766 1.0429797 ],[1],0,[1.3853993 0.5966262 1.9860281 0.3440585]
[1.3853993 0.5966262 1.9860281 0.3440585],[0],0,[0.        0.        0.        2.8525429]
[0.        0.        0.        2.8525429],[1],0,[0.        0.        0.        5.0133038]
[0.        0.        0.        5.0133038],[1],1,[0.        0.        0.        2.8246279]
[0.        0.        0.        2.8246279],[1],0,[1.0783608  0.44449767 1.5019299  0.32334796]
[1.0783608  0.44449767 1.5019299  0.32334796],[0],0,[0.756235   0.27477795 0.94280624 0.37809432]
[0.756235   0.27477795 0.94280624 0.37809432],[0],1,[0.        0.        0.        2.2612176]
[0.        0.        0.        2.2612176],[1],1,[0.       0.       0.       8.445176]
[0.       0.       0.       8.445176],[1],0,[0.      0.      0.      5.77956]
[0.      0.      0.      5.77956],[1],1,[0.       0.       0.       6.575473]
[0.       0.       0.       6.575473],[1],0,[0.       0.       0.       6.456348]
[0.       0.       0.       6.456348],[1],1,[0.        0.        0.        3.4329102]
[0.        0.        0.        3.4329102],[1],0,[0.        0.        0.        2.5211105]
[0.        0.        0.        2.5211105],[1],1,[1.7125645  0.77520216 2.510404   0.3406299 ]
[1.7125645  0.77520216 2.510404   0.3406299 ],[0],1,[0.        0.        0.        3.4711769]
[0.        0.        0.        3.4711769],[1],1,[4.194586  2.051439  6.3717422 0.4669085]
[4.194586  2.051439  6.3717422 0.4669085],[0],1,[0.        0.        0.        1.8644984]
[0.        0.        0.        1.8644984],[1],1,[0.        0.        0.        4.7724743]
[0.        0.        0.        4.7724743],[1],0,[0.        0.        0.        4.0577602]
[0.        0.        0.        4.0577602],[1],1,[0.      0.      0.      4.00635]
[0.      0.      0.      4.00635],[1],0,[0.        0.        0.        2.3332691]
[0.        0.        0.        2.3332691],[1],1,[0.8003744  0.30755544 1.0533941  0.33257002]
[0.8003744  0.30755544 1.0533941  0.33257002],[0],1,[ 0.        0.        0.       10.894702]
[ 0.        0.        0.       10.894702],[1],1,[0.       0.       0.       9.150679]
[0.       0.       0.       9.150679],[1],0,[0.        0.        0.        2.8158598]
[0.        0.        0.        2.8158598],[1],1,[1.86444    0.8600614  2.7605393  0.32238632]
[1.86444    0.8600614  2.7605393  0.32238632],[0],1,[0.66196847 0.2006443  0.75190026 0.4723215 ]
[0.66196847 0.2006443  0.75190026 0.4723215 ],[0],0,[1.235117  0.5393339 1.776339  0.2791881]
[1.235117  0.5393339 1.776339  0.2791881],[0],1,[0.        0.        0.        7.0616493]
[0.        0.        0.        7.0616493],[1],1,[0.9234269  0.36610276 1.236267   0.354132  ]
[0.9234269  0.36610276 1.236267   0.354132  ],[0],1,[0.       0.       0.       8.540255]
[0.       0.       0.       8.540255],[1],1,[1.0029553  0.39764267 1.338919   0.38198227]
[1.0029553  0.39764267 1.338919   0.38198227],[0],1,[0.       0.       0.       2.249082]
[0.       0.       0.       2.249082],[1],1,[ 0.         0.         0.        10.4855385]
[ 0.         0.         0.        10.4855385],[1],0,[1.5101343  0.67753077 2.2102888  0.2967142 ]
[1.5101343  0.67753077 2.2102888  0.2967142 ],[0],0,[1.2723894  0.5465567  1.8196608  0.30919963]
[1.2723894  0.5465567  1.8196608  0.30919963],[0],1,[0.       0.       0.       8.301225]
[0.       0.       0.       8.301225],[1],1,[0.757884   0.27199945 0.9269256  0.39646965]
