A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,class_label
2.0,1.0,37.9,40.0,24.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,40.0,5.7,0.0,0.0,1
1.0,1.0,38.0,50.0,36.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,39.0,6.6,1.0,5.3,1
1.0,1.0,0.0,100.0,0.0,3.0,3.0,4.0,2.0,0.0,4.0,4.0,2.0,1.0,2.0,0.0,0.0,68.0,64.0,3.0,2.0,1
1.0,1.0,0.0,120.0,70.0,4.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,55.0,65.0,0.0,0.0,0
1.0,1.0,39.9,72.0,60.0,1.0,1.0,5.0,2.0,5.0,4.0,4.0,3.0,1.0,0.0,4.0,4.0,46.0,6.1,2.0,0.0,1
2.0,1.0,38.9,44.0,14.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,33.0,64.0,0.0,0.0,1
1.0,9.0,38.2,124.0,88.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,1.0,0.0,1
1.0,1.0,37.8,48.0,28.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,46.0,5.9,2.0,7.0,1
1.0,1.0,36.5,100.0,24.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,4.0,4.0,50.0,6.0,3.0,3.4,1
1.0,1.0,0.0,70.0,16.0,3.0,4.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,4.0,5.0,60.0,7.5,0.0,0.0,0
2.0,1.0,38.3,40.0,16.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,57.0,0.0,0.0,1
2.0,1.0,38.6,52.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,32.0,6.6,1.0,5.0,1
2.0,1.0,38.5,66.0,28.0,3.0,3.0,0.0,2.0,5.0,4.0,4.0,0.0,0.0,0.0,3.0,5.0,45.0,8.4,0.0,0.0,0
2.0,1.0,37.8,48.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,5.3,1.0,0.0,35.0,7.5,0.0,0.0,1
2.0,1.0,38.4,54.0,24.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,49.0,7.2,1.0,8.0,1
2.0,1.0,37.6,88.0,36.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1.5,0.0,0.0,44.0,6.0,0.0,0.0,0
2.0,1.0,38.5,100.0,0.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,2.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0
1.0,1.0,37.5,48.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,41.0,55.0,3.0,2.0,0
1.0,1.0,37.8,88.0,22.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,64.0,8.0,1.0,6.0,0
2.0,1.0,39.6,108.0,51.0,3.0,3.0,6.0,2.0,2.0,4.0,3.0,1.0,2.0,0.0,3.0,5.0,59.0,8.0,2.0,2.6,1
1.0,1.0,37.5,60.0,50.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.5,3.0,4.0,35.0,6.5,0.0,0.0,0
